,delta
1254,0.0
1367,0.20067065505811854
1531,0.13353137476738297
2256,-0.8754640707136776
2175,0.0
3116,0.4700028792469553
2206,-0.31015480709176657
3489,0.51082529043288
1998,-0.28768173911883643
892,-0.33647217947836516
1380,-0.18232144568291275
20,0.0
2811,0.0
2322,0.0
3744,0.09531013434980018
3350,2.302573093082044
1790,0.0
3457,-0.04255961260720298
4884,-0.18232139012744142
3466,0.0
2147,0.0
116,0.0
3923,0.0
1960,-0.15415065601773748
4095,0.510825357099467
2179,0.6286083677558469
2281,-0.22314345131425384
4310,-0.28768190578521313
3031,-0.4054617748026086
427,-0.16989903100835946
4074,0.40546494144156675
2549,-0.08223807568058739
5216,-0.33647166519362237
2000,0.2513143647888594
2767,-0.28768190578521313
3668,0.0
901,1.3862939861200072
1402,-0.10536049343560805
4241,-0.40546477477510834
4888,0.4700028792469553
3290,0.0
3334,0.0
4748,0.0
4326,-0.13353103548262268
2456,-0.40545844155260724
3133,-0.15415020363825604
961,-0.22314353464754433
5029,0.28768123912087873
34,-0.13353137476738297
3287,-0.22314305131533452
540,0.0
3173,0.0
4950,0.0
4561,0.22314305131533452
4018,0.2513143965348785
634,0.0
781,0.0
3054,0.0
2392,-0.22314330131449012
4327,0.0
4076,0.0
4210,-0.13353103548262268
1416,-0.28768203078512045
4060,-0.1823214901273129
2627,0.0
4379,-0.5108242904362132
1615,-0.24512244595569044
4174,0.5108251793219409
5439,0.0
1262,0.22314354417135362
2279,0.6286080760895985
2027,0.0
2599,-0.4700028792469553
2800,-0.22314330131449012
1855,0.0
777,-0.6931451805659457
1208,0.0
321,0.6931470805599602
5410,-0.356674515367823
3019,0.0
1829,-0.18232122346123347
212,0.0
2089,-0.1823214901273129
1102,-0.2513143647888594
1257,-0.33647217947836516
2285,0.0
375,-0.07410797160427052
5127,-0.10536049343560805
2471,-0.1335312140533329
4464,0.0
2702,-0.33647166519362237
2595,-0.2876804057948359
4936,0.0
4408,0.0
4558,0.0
5443,-0.09531013434980018
1184,0.0
3685,-0.1823215234606277
3253,0.5877862204580211
1691,-0.1823208901297324
517,0.18232154568284287
4137,0.0
990,-0.22314350131422067
2703,0.0953099979864902
1852,-0.1823208901297324
3163,0.33647166519362237
1738,-0.18232154568284287
207,0.0
299,-0.11778289676765752
3818,0.0870113618381172
2688,-0.18232022347040022
187,-0.11778302176749555
4100,0.0
3965,0.0
4666,0.0
1527,0.0
3993,-0.22314338464766692
2365,0.1397618771577971
5282,-0.15415065601773748
1178,0.0
2320,0.10536046010230038
5231,0.1823215234606277
597,-0.22314352631421208
329,0.0
968,1.3862940611199654
3826,-0.1541506322082249
2502,0.1823208901297324
2341,-0.09531013434980018
1302,1.8325807637486484
5213,-0.1823208901297324
1481,-0.35667490108159505
5094,0.0
3747,-0.1053604045468326
2359,0.160342585662967
4992,-0.18232139012744142
665,-0.5108242904362132
1981,0.19671028648208022
3938,-0.11332864244987739
4156,0.0
4814,-0.22314338464766692
5068,-0.28768123912087873
18,0.0
2655,0.28768190578521313
405,0.08701137547447857
4190,-0.22314305131533452
4232,0.28768123912087873
4516,0.0
4459,-0.22314345131425384
3911,0.0
3169,1.3862843612032218
4285,0.0
2293,-0.18232139012744142
2203,0.0
4505,-0.13353103548262268
4053,0.510825357099467
242,0.0
1191,0.0
1969,-0.16705407067715328
2990,-0.28768190578521313
4316,0.30228071842032733
384,0.11332868102129012
3035,0.0
1837,0.10536046010230038
2706,0.0
3073,0.0
4793,-0.22314305131533452
392,0.0
666,0.1278333660553379
1823,-0.22314352631421208
2679,1.163148059812901
3342,0.28768190578521313
189,-0.4054650803303872
2645,0.40546477477510834
1914,0.15415065601773748
2255,-0.6931461805614454
5324,-0.11778300787861262
5396,0.0
1363,-0.06453851280423883
155,-0.20067068536114263
5429,-0.22314338464766692
4439,0.0
2254,0.0645385003042449
3280,0.0
1815,-0.10536049343560805
749,-0.13353137476738297
4591,0.0
606,0.0
3834,0.1823215401272904
5357,-0.13353103548262268
